63042ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63062ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $r2[0]
63157ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $r0.<com.mixpanel.android.viewcrawler.m: int b>
63496ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l3 = $l3 - $l4
63506ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63053ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
63446ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $i0 + 1
63036ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63276ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63394ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63335ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[0]
63190ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63414ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63248ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 - $f0
63539ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[0]
63327ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = 0.7F * $f1
63204ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63468ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r2 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63343ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $f1 * $f2
63182ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 + $f1
63268ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f0 = $f0 * $f1
63537ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $r0.<com.mixpanel.android.viewcrawler.m: int b>
63232ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = 0
63142ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[2]
63400ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r2 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63154ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l3 = $r1.<android.hardware.SensorEvent: long timestamp>
63426ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l3 = $r1.<android.hardware.SensorEvent: long timestamp>
63091ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $l3 cmp 1000000000L
63189ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = $r2[$i0]
63035ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f1 = 0.7F * $f1
63310ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $i0 + 1
63106ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$i0 = $i0 + 1
63098ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
63070ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$f2 = $r2[2]
63490ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$b1 = $f0 cmpl 139.24F
63503ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r2 = $r1.<android.hardware.SensorEvent: float[] values>
63291ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$l4 = $r0.<com.mixpanel.android.viewcrawler.m: long c>
63302ZZZonSensorChanged:com.mixpanel.android.viewcrawler.m:$r3 = $r0.<com.mixpanel.android.viewcrawler.m: float[] d>
